0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
4063.000	250.000	500.000	2.000
4063.000	250.000	500.000	2.000
963.000	51.000	500.000	3.000
963.000	88.000	1000.000	3.000
4063.000	8.000	1500.000	1.000
4063.000	250.000	1000.000	2.000
7163.000	151.000	1500.000	3.000
963.000	12.000	1500.000	3.000
7163.000	10.000	1500.000	3.000
4063.000	250.000	1000.000	2.000
7163.000	250.000	1500.000	4.000
7163.000	46.000	1500.000	3.000
4063.000	24.000	1000.000	1.000
963.000	15.000	1000.000	3.000
4063.000	159.000	1000.000	1.000
4063.000	101.000	1500.000	1.000
4063.000	250.000	1000.000	2.000
4063.000	70.000	500.000	1.000
4063.000	74.000	1000.000	1.000
963.000	20.000	1500.000	3.000
963.000	21.000	500.000	3.000
7163.000	78.000	1500.000	3.000
4063.000	250.000	1500.000	2.000
4063.000	250.000	1500.000	2.000
963.000	37.000	500.000	3.000
7163.000	83.000	500.000	3.000
4063.000	75.000	1500.000	1.000
7163.000	250.000	500.000	4.000
0.000	0.000	0.000	0.000
4063.000	36.000	500.000	1.000
7163.000	91.000	1500.000	3.000
4063.000	250.000	500.000	2.000
4063.000	120.000	1500.000	1.000
7163.000	22.000	500.000	3.000
4063.000	86.000	1500.000	1.000
4063.000	123.000	1500.000	1.000
4063.000	0.000	1500.000	1.000
963.000	250.000	500.000	4.000
4063.000	60.000	1500.000	1.000
963.000	250.000	1500.000	4.000
7163.000	12.000	1500.000	3.000
963.000	250.000	500.000	4.000
4063.000	114.000	1000.000	1.000
4063.000	42.000	500.000	1.000
4063.000	85.000	1000.000	1.000
963.000	5.000	500.000	3.000
4063.000	94.000	1500.000	1.000
4063.000	250.000	1500.000	2.000
4063.000	250.000	1500.000	2.000
4063.000	250.000	500.000	2.000
4063.000	84.000	1500.000	1.000
963.000	0.000	1500.000	3.000
7163.000	129.000	1500.000	3.000
7163.000	183.000	1500.000	3.000
7163.000	250.000	1000.000	4.000
7163.000	250.000	1500.000	4.000
963.000	250.000	1000.000	4.000
0.000	0.000	0.000	0.000
963.000	29.000	1500.000	3.000
4063.000	250.000	500.000	2.000
4063.000	83.000	1500.000	1.000
0.000	0.000	0.000	0.000
963.000	250.000	1000.000	4.000
4063.000	97.000	500.000	1.000
4063.000	118.000	500.000	1.000
4063.000	89.000	1500.000	1.000
7163.000	67.000	1500.000	3.000
963.000	7.000	1000.000	3.000
4063.000	36.000	1000.000	1.000
0.000	0.000	0.000	0.000
963.000	12.000	1500.000	3.000
963.000	250.000	1500.000	4.000
4063.000	34.000	1500.000	1.000
7163.000	1.000	500.000	3.000
4063.000	58.000	1000.000	1.000
4063.000	82.000	1500.000	1.000
7163.000	31.000	1500.000	3.000
4063.000	250.000	1000.000	2.000
7163.000	12.000	1500.000	3.000
7163.000	2.000	500.000	3.000
7163.000	96.000	500.000	3.000
4063.000	90.000	1000.000	1.000
4063.000	115.000	500.000	1.000
4063.000	96.000	500.000	1.000
4063.000	250.000	1500.000	2.000
0.000	0.000	0.000	0.000
4063.000	250.000	1000.000	2.000
0.000	0.000	0.000	0.000
963.000	63.000	1500.000	3.000
4063.000	69.000	500.000	1.000
4063.000	72.000	500.000	1.000
